Titre,description français,description anglais,tag
Tony Stone - Night Out In Paris,"Clip vidéo produit par Melting Production, avec le soutien du CNC.",,clip
Voulant te fuir,,,mastersmovie
WHY? - HMLTD,,,clip
"ô triste, triste était mon âme","Hanté par le sourire figé de la femme qu'il a aimée, un aviateur est prêt à s'écraser. Court métrage produit par Tant mieux Prod et diffusé sur France 3.",,schoolisover
LNouR & Krooner - High Speed Chase,,,clip
Arigato Massaï - Blame Game,Clip Vidéo ,,clip
Destination : Arbre,"Le vacarme de la ville, puis soudain, au détour d’un regard : un arbre. Une jeune femme nous embarque pour un voyage sensuel et sensitif. Court métrage produit par Tant mieux Prod et diffusé sur France 3",,schoolisover
Clou - Comment,,,clip
Peace and Love,Film de fin d'étude. Un jeune homme et son mentor navigue sur un navire à la recherche de la paix. ,,mastersmovie
HASTA SIEMPRE,Clip Video pour Silence Radio ,,clip
Bar Keeper,,,mastersmovie
Bête à Cornes,,,mastersmovie
"Après le Soleil, l'Aurore",Aurèle est soufleur de verre.Comme tous les ans il essaye d'offrir un cadeau d'anniversaire au Soleil.,"Aurèle is a glass-blower. Like every year, he tries to build a birthday gift to the Sun.",mastersmovie
Une Dernière Cigarette,,,mastersmovie
L'Echappée Sauvage,Clip vidéo,,clip
Michel Le Berger,"Michel n'arrive plus à guider ses moutons. 
Une nuit où la tristesse l'envahit un nouvel ami va lui venir en aide. ",,clip
MIA,,,mastersmovie
L'Homme Qui Est Foudroyé,,,mastersmovie
Les zozolympiades,,,mastersmovie
ADADA,,,mastersmovie
La Fièvre Au Soleil,"Film de fin d'étude. Un été au camping, un désir ardent émerge chez Oscar pour une amie de sa mère. ",,mastersmovie
Bricolage,,,schoolisover
